ColName,ScreenableValues
PNRLLIMIT,1:2
PNRLKPLMT,1:2
PNRLNDMOR,1:2
PNRLLSEFX,1:2
PNRLCUTDN,1:2
PNRLCUTEV,1:2
PNRLCUT1X,1:2
PNRLWD3SX,1:2
PNRLWDSMT,1:2
PNRLEMOPB,1:2
PNRLEMCTD,1:2
PNRLPHLPB,1:2
PNRLPHCTD,1:2
PNRLLSACT,1:2
PNRLSERPB,1:2
PNRLPDANG,1:2
PNRLLAWTR,1:2
PNRLFMFPB,1:2
PNRLFMCTD,1:2
TRQLLOTTM,1:2
TRQLGTOVR,1:2
TRQLLIMIT,1:2
TRQLKPLMT,1:2
TRQLNDMOR,1:2
TRQLLSEFT,1:2
TRQLCUTDN,1:2
TRQLCUTEV,1:2
TRQLEMOPB,1:2
TRQLEMCTD,1:2
TRQLPHLPB,1:2
TRQLPHCTD,1:2
TRQLLSACT,1:2
TRQLSERPB,1:2
TRQLPDANG,1:2
TRQLLAWTR,1:2
TRQLFMFPB,1:2
TRQLFMCTD,1:2
STIMLOTTM,1:2
STIMGTOVR,1:2
STIMLIMIT,1:2
STIMKPLMT,1:2
STIMNDMOR,1:2
STIMLSEFX,1:2
STIMCUTDN,1:2
STIMCUTEV,1:2
STIMCUT1X,1:2
STIMFLBLU,1:2
STIMWD2SX,1:2
STIMWDSMT,1:2
STIMEMOPB,1:2
STIMEMCTD,1:2
STIMPHLPB,1:2
STIMPHCTD,1:2
STIMLSACT,1:2
STIMSERPB,1:2
STIMPDANG,1:2
STIMLAWTR,1:2
STIMFMFPB,1:2
STIMFMCTD,1:2
SEDVLOTTM,1:2
SEDVGTOVR,1:2
SEDVLIMIT,1:2
SEDVKPLMT,1:2
SEDVNDMOR,1:2
SEDVLSEFX,1:2
SEDVCUTDN,1:2
SEDVCUTEV,1:2
SEDVCUT1X,1:2
SEDVWD1SX,1:2
SEDVWDSMT,1:2
SEDVEMOPB,1:2
SEDVEMCTD,1:2
SEDVPHLPB,1:2
SEDVPHCTD,1:2
SEDVLSACT,1:2
SEDVSERPB,1:2
SEDVPDANG,1:2
SEDVLAWTR,1:2
SEDVFMFPB,1:2
SEDVFMCTD,1:2
DEPENDHAL,0:1
DEPENDINH,0:1
DEPENDMTH,0:1
DEPENDPNR,0:1
DEPENDTRQ,0:1
DEPENDSTM,0:1
DEPENDSED,0:1
ABUPOSHAL,0:1
ABUPOSINH,0:1
ABUPOSMTH,0:1
ABUPOSPNR,0:1
ABUPOSTRQ,0:1
ABUPOSSTM,0:1
ABUPOSSED,0:1
IRCGIRTB,1:5
IRCGCRV,1:5
IRCGCRGP,1:5
IRCGNCTL,1:5
IRCGAVD,1:5
IRCGROUT,1:5
IRCGRGDY,1:5
IRCGRGWK,1:5
IRCGRGNM,1:5
IRCGNCG,1:5
IRCGSLHR,1:5
IRCGINFL,1:5
IRCGNINF,1:5
IRCGINCR,1:5
IRCGSAT,1:5
IRCGLMR,1:5
IRDEPENDHAL,0:1
IRDEPENDINH,0:1
IRDEPENDMTH,0:1
IRDEPENDPNR,0:1
IRDEPENDTRQ,0:1
IRDEPENDSTM,0:1
IRDEPENDSED,0:1
IRABUPOSHAL,0:1
IRABUPOSINH,0:1
IRABUPOSMTH,0:1
IRABUPOSPNR,0:1
IRABUPOSTRQ,0:1
IRABUPOSSTM,0:1
IRABUPOSSED,0:1
NDSSANSP,1:5
NDSSDNSP,0:1
FTNDDNSP,0:1
DNICNSP,0:1
DEPNDALC,0:1
DEPNDMRJ,0:1
DEPNDCOC,0:1
DEPNDHER,0:1
DEPNDPYHAL,0:1
DEPNDPYINH,0:1
DEPNDPYMTH,0:1
DEPNDPYPNR,0:1
DEPNDPYTRQ,0:1
DEPNDPYSTM,0:1
DEPNDPYSED,0:1
DEPNDPYPSY,0:1
DEPNDPYILL,0:1
DEPNDPYIEM,0:1
DPPYILLALC,0:1
DPPYILANAL,0:1
ABUSEALC,0:1
ABUSEMRJ,0:1
ABUSECOC,0:1
ABUSEHER,0:1
ABUSEPYHAL,0:1
ABUSEPYINH,0:1
ABUSEPYMTH,0:1
ABUSEPYPNR,0:1
ABUSEPYTRQ,0:1
ABUSEPYSTM,0:1
ABUSEPYSED,0:1
ABUSEPYPSY,0:1
ABUSEPYILL,0:1
ABUSEPYIEM,0:1
ABPYILLALC,0:1
ABPYILANAL,0:1
ABODALC,0:1
ABODMRJ,0:1
ABODCOC,0:1
ABODHER,0:1
UDPYHAL,0:1
UDPYINH,0:1
UDPYMTH,0:1
UDPYPNR,0:1
UDPYTRQ,0:1
UDPYSTM,0:1
UDPYSED,0:1
UDPYPSY,0:1
UDPYOPI,0:1
UDPYILL,0:1
UDPYIEM,0:1
UDPYILAL,0:1
UDPYILAAL,0:1
BOOKED,1:2
NOBOOKY2,0:3
BKMVTHFT,1:2
BKLARCNY,1:2
BKBURGL,1:2
BKSRVIOL,1:2
BKSMASLT,1:2
BKROB,1:2
BKARSON,1:2
BKDRVINF,1:2
BKDRUNK,1:2
BKPOSTOB,1:2
BKDRUG,1:2
BKSEXNR,1:2
BKFRAUD,1:2
BKOTH,1:2
PROBATON,1:2
PAROLREL,1:2
DRVINALCO,1:2
DRVINMARJ,1:2
DRVINCOCN,1:2
DRVINHERN,1:2
DRVINHALL,1:2
DRVININHL,1:2
DRVINMETH,1:2
DRVINALON,1:2
DRVINALCO2,0:1
DRVINMARJ2,0:1
DRVINDRG,0:1
DRVINDROTMJ,0:1
DRVINALDRG,0:1
PAROL,1:2
PROB,1:2
MRJYRBFR,1:2
MRJAGLST,1:130
CIGAGLST,1:130
CIGDLLST,1:130
SMKAGLAST,1:130
CGRAGLST,1:130
ALCAGLST,1:130
COCAGLST,1:130
CRKAGLST,1:130
HERAGLST,1:130
HALLAGLST,1:130
LSDAGLST,1:130
PCPAGLST,1:130
ECSTMOAGL,1:130
INHLAGLST,1:130
METHAGLST,1:130
CIGYRBFR,1:2
ALCYRBFR,1:2
COCYRBFR,1:2
MJPRIOR,0:1
MJPRIYR,0:1
MJPRNOYR,0:1
TXEVRRCVD,1:2
TXYRRECVD,1:2
TXYRALDGB,1:3
TXYRHOSOV,1:2
TXYRHOSAD,1:3
TXYRRESOV,1:2
TXYRRESAD,1:3
TXYROUTPT,1:2
TXYROUTAD,1:3
TXYRMHCOP,1:2
TXYRMHCAD,1:3
TXYREMRGN,1:2
TXYREMRAD,1:3
TXYRDRPRV,1:2
TXYRDRPAD,1:3
TXYRPRISN,1:2
TXYRPRIAD,1:2
TXYRSLFHP,1:2
TXYRSLFAD,1:3
TXYROTHER,1:2
TXYROTHAD,1:3
TXYRERDRG,1:2
TXYRERNUM2,1:365
TXCURRENT,1:2
NDTXYRADG,1:2
NDMORTXYR,1:2
NDTXYRALC,1:2
NDTXYRMRJ,1:2
NDTXYRCOC,1:2
NDTXYRHER,1:2
NDTXYRHAL,1:2
NDTXYRMTH,1:2
NDTXYRPNR,1:2
NDTXYRTRQ,1:2
NDTXYRSTM,1:2
NDTXYRSED,1:2
NDTXYROTH,1:2
NDTXEFFRT,1:2
NDMREFFRT,1:2
TXRCVDREC,1:3
TXLTYALCO,1:2
TXLTYMRJH,1:2
TXLTYCOCN,1:2
TXLTYHERN,1:2
TXLTYHALL,1:2
TXLTYINHL,1:2
TXLTYMETH,1:2
TXLTYPNRL,1:2
TXLTYTRQL,1:2
TXLTYSTIM,1:2
TXLTYSEDV,1:2
TXLTYOTHR,1:2
TXLTYDAYS2,1:31
TXPAYHINS,1:2
TXPAYMCRE,1:2
TXPAYMCAD,1:2
TXPAYPUBL,1:2
TXPAYSVNG,1:2
TXPAYFAML,1:2
TXPAYCOUR,1:2
TXPAYMILT,1:2
TXPAYBOSS,1:2
TXPAYOTHR,1:2
TXPAYFREE,1:2
TXENRLOCT,1:2
TXYRONDTX,1:2
TXALCONLY,1:2
TXALCONAG,1:130
TXDRGONLY,1:2
TXDRGONAG,1:130
TXALCDRGU,1:2
TXALCDAGE,1:130
TXDRGALCU,1:2
TXDRGAAGE,1:130
TXYALONAG,1:130
TXYALODRG,1:2
TXYALODAG,1:130
TXYDRONAG,1:130
TXYDROALC,1:2
TXYDROAAG,1:130
TXYALDAAG,1:130
TXYALDDAG,1:130
TXSHGWENT,1:2
TXSHGALDB,1:3
